Title,Tag(s),Template,Image,Post URL
A Unique Process,"Hook, Carousel, How I, Case Study","How I turned my [owned asset] into a [valuable asset] 

[impressive results]",https://framerusercontent.com/images/aC5iF50tREpNAed3mwyEEVM0E.png,https://www.linkedin.com/posts/laraacostar_turn-your-linkedin-into-a-landing-page-101-activity-7056251005855756288-SUpB?utm_source=share&utm_medium=member_desktop
Challenging Assumptions,"Hook, Carousel, Contrarian Statement, Aspirational",Why great [professionals] must be [counterintuitive quality],https://framerusercontent.com/images/9azdymXDkLeZa88b31Zfp3xKHSc.png,https://www.linkedin.com/posts/john-copy_why-great-copywriters-must-be-illogical-activity-7081602486985203713-1kpF?utm_source=share&utm_medium=member_desktop
Unconventional Strategy,"Hook, Carousel, How To, Unexpected Contrast, Strong Promise","How to use [unconventional tool/strategy] in your [professional context] 

(X examples that will change the way you think about [tool/strategy])",https://framerusercontent.com/images/FvzbEwqsU9QOpyRhEFma6DWs24.png,https://www.linkedin.com/posts/saralattanzio_using-memes-in-your-content-strategy-activity-7032344125697880064-tac-?utm_source=share&utm_medium=member_desktop
Educational Asset,"Hook, Carousel, Educational Value",[Short timeframe] [Skill] Course,https://framerusercontent.com/images/LSn6gIoPedHF2SP5X8TZCjEEto.png,https://www.linkedin.com/posts/alicjasmin_learn-how-to-write-better-in-60-seconds-activity-7031959934250401793-x2TH?utm_source=share&utm_medium=member_desktop
One Thing’s For Sure…,"Hook, Carousel, Pattern Interrupt, Future Certainty",X [things] you won’t [emotion/action] about in [time frame],https://framerusercontent.com/images/UYQ9Yd7gOHf8Rp0rMz88yLXXgA.png,https://www.linkedin.com/posts/colby-kultgen_7-things-you-wont-give-a-fck-about-in-5-activity-7097185302728888321-ZVPV?utm_source=share&utm_medium=member_desktop
Inside Information,"Hook, Carousel, Controversial, Achievable Roadmap, Secret To Success","How to [achieve desirable outcome] in X simple steps

(this is a secret)",https://framerusercontent.com/images/jgCioNZj3a9tmNE48ChyL5Rf2c.png,https://www.linkedin.com/posts/mattjbarker1_how-to-steal-an-audience-on-linkedin-in-8-activity-7006165934469955584-MwiI?utm_source=share&utm_medium=member_desktop
Do X to Achieve Y,"Hook, Carousel, Broad Appeal, Empowering",X ways to [action][situation/challenge],https://framerusercontent.com/images/lbqQRBKuC4NUFG4rE6C96HJleU.png,https://www.linkedin.com/posts/thechrisdo_say-no-activity-7078023930308923393-5DG7?utm_source=share&utm_medium=member_desktop
Uncommon Experience,"Hook, Carousel, Borrowing Credibility, Broad Appeal, Uncommon Experience","I spent [time period] with [group of notable individuals] in [interesting location]

X [content types] (that every [target audience] needs to hear):",https://framerusercontent.com/images/RQTPCVM5pAEyiuIddJ7c9b5PIQ.png,https://www.linkedin.com/posts/sahilbloom_i-spent-three-days-with-a-group-of-multimillionaire-activity-7101545907531182080-oE9j?utm_source=share&utm_medium=member_desktop
Intriguing Principle,"Hook, Carousel, How To, Creating Intrugue, Building Credibility ","[Intriguing statement or principle]

How to [achieve desirable outcome]

([credibility booster])",https://framerusercontent.com/images/JdENmWiaeWtBtpftaOIpQsl88QA.png,https://www.linkedin.com/posts/tihanson_how-to-make-skimmable-content-v2-530-activity-7102621234114224130-tGBp?utm_source=share&utm_medium=member_desktop
An Unconventional Lesson,"Hook, Carousel, Challenging Convention, Specific Numbers, Learning Methods","X [curiosity-inducing word][desirable outcome or skill] [content type]

That’ll [help you achieve superior result to conventional alternative]",https://framerusercontent.com/images/c5jfa8OSqe1zzlx8Pj1xGZv20Oo.png,https://www.linkedin.com/posts/chasedimond_10-viral-copywriting-tips-activity-7023742275042123776-T_bO?utm_source=share&utm_medium=member_desktop
You Need To Know This,"Hook, Carousel, Creating Urgency, Audience Specific","X types of [business assets] you need to know how to [action]

As a [Target Audience]",https://framerusercontent.com/images/tqBn7VOTRndhFFW9guyJpIjhmUc.png,https://www.linkedin.com/posts/alexcattoni_7-types-of-emails-activity-6993599250458628096-gOoX?utm_source=share&utm_medium=member_desktop
How To Do X and Achieve Y,"Hook, Carousel, How To, Value Promise, Low Time Comittment","How to [achieve specific goal]

in [low time frame] per [day/week/month]",https://framerusercontent.com/images/CqUCcWCAOZPMh2QRHU47Sq8MlY.png,https://www.linkedin.com/posts/lukematthws_how-to-connect-with-active-users-of-linkedin-activity-7162776103621701633-QgBI?utm_source=share&utm_medium=member_desktop
New vs Old,"Hook, Carousel, Nostalgia, Contrast Principle, New vs Old","New [platform/tool/version] vs. Old [platform/tool/version]

(+ [Content type/functionality])",https://framerusercontent.com/images/r02xkWBMUF8SEx3Aol7hPI8v8.png,https://www.linkedin.com/posts/filipa-canelas_old-linkedin-vs-new-linkedin-content-edition-activity-7247214728580657153-JUnb?utm_source=share&utm_medium=member_desktop
Studying The Classics,"Hook, Carousel, Brand Ads, Timeless Insights, Borrowing Credibility","X classic [Brand][assets/achievements/products]

Every [Target Audience] should study",https://framerusercontent.com/images/LgNoxWQF3XHwEVizsfkeOz2YIfY.png,https://www.linkedin.com/posts/josue-valles_55-classic-apple-ads-every-marketer-should-activity-7018901830210379776-eMUk?utm_source=share&utm_medium=member_desktop
The Escape,"Hook, Story, Relatable Subject, 9-5, Winning Strategy","I left [common challenging situation] [time period] ago.

My winning strategy is [counterintuitive approach].",https://framerusercontent.com/images/KOX4q2bKN1FGI07QlQiYGVX0MSY.png,https://www.linkedin.com/posts/justinwelsh_i-escaped-the-rat-race-25-years-ago-my-activity-6901876902475157504-j9lk?utm_source=share&utm_medium=member_desktop
7 Lessons To Success,"Hook, Story, Lessons to Success","When I finished [previous position], I [found myself in an uncomfortable situation].

X years/months later, I [find myself in a better situation].

Here are X key [content type] I've learned along the way to [achieving desirable outcome]: …",https://framerusercontent.com/images/8li0XQfHljhuY7mH1QJxOAAYE9k.png,https://www.linkedin.com/posts/nicolascole_when-i-graduated-from-college-i-moved-into-activity-7143234051905114113-HGTO?utm_source=share&utm_medium=member_desktop
The (Nearly) Dream Job,"Hook, Story, Relatable Subject, Job Interview, Harsh Reality","I thought I'd found the perfect [position/project]. But then I [reached specific turning point].

In just [short time frame], I faced [list of negative experiences or challenges].

Shortly after, …",https://framerusercontent.com/images/V3fCk3gdEutO5r1QMu51XqhWtms.png,https://www.linkedin.com/posts/brianna-doe_i-thought-id-found-my-dream-job-until-activity-7165723133843324928-TEa1?utm_source=share&utm_medium=member_desktop
The Unconventional Hire,"Hook, Story, Unconventional Approach, Modern Day CV","[Time period] ago, I [took an unconventional action].

I didn't [conduct expected action 1] nor did I [conduct expected action 2].

Now, [person or scenario has reached desirable outcome].",https://framerusercontent.com/images/WEZEorsyKpjnM93YRc4sW0o3MU.png,https://www.linkedin.com/posts/laraacostar_last-year-i-hired-someone-from-my-comment-activity-7150826119645077504-L1z_?utm_source=share&utm_medium=member_desktop
From Struggle To Success,"Hook, Story, Company/Product, Growth Story","Today, [Company/Product] is valued at [impressive figure] and [impressive metric].

But it was tough for [Founder's Name] when they started in [Year]: …",https://framerusercontent.com/images/6TculpJGKSubW9ruXJlg1r5bo0.png,https://www.linkedin.com/posts/pierre-herubel-540b3949_today-canva-is-valued-at-40-billion-with-activity-6997523121939300352-abcf?utm_source=share&utm_medium=member_desktop
Something Was Off,"Hook, Story, First Business, Growth Story","I never [had conventional experience]. But it seemed like I did.

I began [venture or project] at [age]. [Give content on situation]. I didn't know where I was going. But somehow I [achieved outcome].",https://framerusercontent.com/images/JCTyNqVqg6Y5bsL43GJZhNFLRQQ.png,https://www.linkedin.com/posts/nbroekema_ive-never-been-employed-but-it-felt-like-activity-7235532265043169280-mAyI?utm_source=share&utm_medium=member_desktop
The Life-Changing Lesson,"Hook, Story, Life Changing Lesson ","[Time period] ago, I had a chat with [Known Figure].

One mind-blowing thing I took away:

[Their name] has [achieved specific desirable outcome]. We spoke about what it takes to [achieve said outcome while minimising associated downside]:

[Their name]'s reply: …",https://framerusercontent.com/images/haDcEk4SCEK0BqPSDLJ1Mmxk.png,https://www.linkedin.com/posts/sahilbloom_last-night-i-had-a-drink-with-gary-vaynerchuk-activity-7168579021406998529-aTqu?utm_source=share&utm_medium=member_desktop
Best Laid Plans,"Hook, Story, Vulnerability, Fail","The time I [experienced a notable event or situation]:

“[Your name],” said [person]. “[Question inquiring about event/situation]?”

“[Vulnerable/surprising response],” I said.",https://framerusercontent.com/images/CUspINFo9OBrizL61ESbGTlpzDU.png,https://www.linkedin.com/posts/eshleyner_marketing-writing-copywriting-activity-6843177803404468224-ux8y?utm_source=share&utm_medium=member_desktop
Job (Not) Done,"Hook, Story, Progress Barrier","Last week I [engaged in a specific activity or situation].

But [unexpected outcome or obstacle].",https://framerusercontent.com/images/NOLET0Zj1VjhsjriViYhUoHxkco.png,https://www.linkedin.com/posts/ryanholiday_the-other-day-i-sat-down-to-write-but-it-activity-7161841991582953472-NMZ1?utm_source=share&utm_medium=member_desktop
Tumultuous Tale,"Hook, Story, Individual/Company Success, Bumpy Ride","[Individual/Company] was [give brief context] with [describe idea or endeavour].

X years later, they’ve [achieved big goal or milestone].

But their journey was anything but straightforward.",https://framerusercontent.com/images/GbPb6oGI4LgUecgZwuUnG8EczbQ.png,https://www.linkedin.com/posts/grace-beverley-574a10102_workinghardpodcast-activity-7198578350095839232-oFZ4?utm_source=share&utm_medium=member_desktop
