Title,Tag(s),Template,Image,Post URL
The AIDA copywriting formula,"Post, Text, Image, Strong POV, Mental Reframe","It’s impossible to [achieve a common goal] on/in [platform/tool/group] today.

Instead, here's what's achievable today:

- You can [specific action] to [achieve specific goal].
- You can [specific action] to [achieve specific goal].
- You can [specific action] to [achieve specific goal].
- You can [specific action] to [achieve specific goal].

It’ll only take you [realistic time investment].

However, in [relatively short time frame], you’ll have:

- [Desirable outcome]
- [Desirable outcome]
- [Desirable outcome]

Don’t say:

""I want to [achieve common goal] on/in [platform/tool/group] today""

Instead, say:

""I want to [engage in specific daily action] today""

Pick [new strategy for success] over [common but less effective strategy].

P.S. [Foster follower engagement with a personal sign-off]",https://framerusercontent.com/images/GaBRJXDOCpAP9MeoHbVopPzhMY.png,https://www.linkedin.com/posts/tasleemahmadfateh_its-impossible-to-build-a-business-on-linkedin-activity-7165231042205827072-wUXj?utm_source=share&utm_medium=member_desktop
How to get eyeballs on your long-form content,"Post, Text, Video, Borrowing Credibility, Content Distribution","[Person’s name] [has done a remarkable thing] with [topic/product]. Here's how they [approach specific skill]:

1. [Practical tip shared in long-form content]
2. [Practical tip shared in long-form content]
3. [Practical tip shared in long-form content]
4. [Practical tip shared in long-form content]

Here’s the full [resource]: [Link]",https://framerusercontent.com/images/KgUaR0Xu6URDc91gwZJPqOmNm2g.png,https://www.linkedin.com/posts/davidperell_morgan-housels-sold-more-than-4-million-activity-7166076607990841344-jfAm?utm_source=share&utm_medium=member_desktop
The Slippery Slide Effect,"Post, Text, Image, Challenging Beliefs, Building Authority ","[Concept 1] = [Outcome 1]. [Concept 2] = [Outcome 2].

It's not the [concept 1/desire] we want. It's the [deeper desire].

Yet...

We all know the cliche, [common saying or belief]. Despite the [deeper desire], many let [concept 1/desire] shackle them in a new way.

The new [ideal goal] is to be [desirable state]. How do you achieve this?

I got obsessed with this idea as I began [hitting my goals]. I’ve spent [considerable timeframe] getting to know [relevant individuals/topic], and studying those who [reached desirable state].

What do you think the answer is?

It’s an idea I’ve been organising my thoughts on for a while. Sometime in [timeframe], I’ll have a [content asset] out on it.

Feel free to [subscribe/follow/sign up] if that’s something you’d want to see: [Link]",https://framerusercontent.com/images/bcKNqt3fpHDHYwc6rd3dL2m9tU.png,https://www.linkedin.com/posts/codiesanchez_money-options-poverty-trapped-its-activity-7249768296277766145-AkNd?utm_source=share&utm_medium=member_desktop
“LinkedIn loves stories” — Justin Welsh,"Post, Text, Image, Transformation Story,","I grew up here.

[Share 1-2 details of living circumstances and/or location]

X years ago, I decided to [pursue a goal].

I/We didn’t have [an advantage].

I/We didn’t even know what a [common means to achieve goal] was.

I/We [took specific actions] and [achieved goal].

[Short timeframe] ago, I/we [reached a significant achievement].

This post isn’t to brag.

It’s to show that regardless of where you start, you can [empowering message].

I didn’t choose to live in [humble starting point].

I didn’t choose to [put up with specific adversity].

I did choose to get out of that.

Truth is you can/have [universal truth or insight].

You may not be in control of where you start.

But you are in control of where you finish.",https://framerusercontent.com/images/UwZsBh88AY8HEVg2Ejk3AUByswc.png,https://www.linkedin.com/posts/timothyarmoo_i-grew-up-here-4th-floor-council-estate-activity-6935497853066731520-Pnap?utm_source=share&utm_medium=member_desktop
Warning: This post may get you worked up!,"Post, Text, Image, Challenging Situation, Isightful Takeaway","Once upon a time.

I [experienced a challenging and slightly unusual situation]:

- [Issue/behaviour and its impact]
- [Issue/behaviour and its impact]
- [Issue/behaviour and its impact]

Sure, [type of situation] happens in [given context].

Sometimes we have to [reasonable response].

But here’s what I could never understand:

Why does [specific issue] become [consequence of the issue]?",https://framerusercontent.com/images/LbFOOKUQt5uzLmqG4iTJqopjXs.png,https://www.linkedin.com/posts/mita-mallick-2b165822_leadership-inclusion-culture-activity-7112042097712476161-vFCG?utm_source=share&utm_medium=member_desktop
The PAS copywriting formula,"Post, Text, Image, Relatable Problem, Relevant Solution, Actionable Advice","[Give an impressive, relatable fact].

[Give another fact that builds on the first].

This explains why [you/we] can [perform specific action OR reach specific goal].

But because of [these facts], [a negative consequence can occur].

[Name a negative consequence].

[Briefly explain the relevance of the consequence].

So, how do [you/we] [resolve this issue]?

[Name a solution].

[Briefly explain the relevance of the solution].

Here are [X actionable tips/questions/steps] to help get you started:

- [Tip/Question/Step 1]
- [Tip/Question/Step 2]
- [Tip/Question/Step 3]
- [Tip/Question/Step 4]

Take [timeframe] to [follow this advice] and you'll [unlock key benefit].

[Relatable text image to act as a ‘billboard’ for your post]",https://framerusercontent.com/images/wP85lKjUewTxKvYul4VTuLKdZhc.png,https://www.linkedin.com/posts/dakotarobertson_your-brain-is-one-of-the-most-sophisticated-activity-7082329268973674496-Zhvk?utm_source=share&utm_medium=member_desktop
"Don’t do this… Instead, do this…","Post, Text, Ineffective Approach, Effective Strategy, ","This week, I [experienced a remarkable/unusual event].

Here are [X] ways I wouldn't recommend to [related activity]:

1. [Common ineffective approach 1]

[Explain why it's ineffective]

2. [Common ineffective approach 2]

[Explain why it's ineffective]

3. [Common ineffective approach 3]

[Explain why it's ineffective]

This is how I'd do it instead:

1. [Effective strategy 1]. [Brief explanation].

2. [Effective strategy 2]. [Brief explanation].

3. [Effective strategy 3]. [Brief explanation].

Remember: 

[Takeaway that summarises why this advice is important]",https://framerusercontent.com/images/kdYH43b0J6KrbL2FzGVFZ75Jw.png,https://www.linkedin.com/posts/dina-town-authority-marketing_linkedin-marketing-branding-activity-6948258898432675842-5qkf?utm_source=share&utm_medium=member_desktop
How to build anticipation for a new product,"Post, Text, Image, Product Launch, Event Signup","I’m [feeling/emotion]. It’s a big [day/week/month].

On [day/date], I’m launching [product/service].

Initially, things didn’t go as planned:

- [Challenge 1]
- [Challenge 2]
- [Challenge 3]

[Anecdote or fact about past struggles].

I didn't think it would happen.

But now, it’s ready.

It’s designed to be your [desirable solution].

This is what I use to [achieve shared goal].
It’s what I needed when I was struggling.
It’s what I needed when I first started.

It helps you [unlock benefit 1], [benefit 2], and [benefit 3].

Join me on [day/date] for [promotional event].

It’s at [time] am/pm [time zone].

Plus if you attend, you’ll be in with a chance of [giveaway/incentive].

Click here to sign up for the event: [Link]

[Personal image that matches the post]",https://framerusercontent.com/images/OgVnjkN4hWEE3NatK9gKrmXL4Q.png,https://www.linkedin.com/posts/rmuss_im-excited-im-anxious-its-a-big-week-activity-7099367030931263488-rGYQ?utm_source=share&utm_medium=member_desktop
How to lead with vulnerability and inspire others,"Post, Text, Image, Past Failure, The Transformation, Inspiring Takeaway","[X years] ago, my [type of venture] failed.

Despite not having [type of support], I was determined to succeed.

I [methods of funding and effort] for the first [X month/years].

Eventually I tried [alternative method of funding and effort], but I knew [related risks/challenges] so I had to [make specific sacrifice].

I [related struggle]. [Negative consequence].

That [venture] failed, and I faced [severe consequences].

For [X month/years], I dealt with [specific repercussions].

I worried about whether I could even [carry out a relatively normal task].

However, [X weeks/months] ago… 

[Positive turn or resolution].

Why am I telling you this?

Because what you see online isn’t the whole story.

People only show you what they want you to see.

So if you're experiencing [specific type of hardship] right now, I assure you it won't last forever.

[Wise parting advice/quote]

[Personal image that matches the post]",https://framerusercontent.com/images/OPKO0HT32LyNAAFrwzmLNMRFzm4.png,https://www.linkedin.com/posts/katebour_7-years-ago-my-tech-startup-failed-i-didn-activity-7105171499820425218-BvPo?utm_source=share&utm_medium=member_desktop
Good strategy → Great strategy,"Post, Text, Amatuer Strategy, Advanced Strategy, Expert Strategy","Amateur: ""I [basic activity] [on/with] [Platform/Product/Strategy].""

Intermediate:

""I [basic activity] and [additional activity].""

Advanced:

""I [basic activity], [additional activity], and [another activity].""

Expert:

""I [basic activity], [additional activity], [another activity], [further activity], and [final activity].""

The reality:

[Achieving specific goal] requires more than just [basic activity].",https://framerusercontent.com/images/fbDkVf7G2UMK254PviRxwaqUn9Y.png,https://www.linkedin.com/posts/matlehnhoff_good-i-post-every-weekday-on-linkedin-activity-7153747947803795458-Eywd?utm_source=share&utm_medium=member_desktop
